Territory,Location type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Horta-Guinardó,Districte,5.750422725,6.447715454,7.08864685,7.651397138,8.278920867,9.183358517,10.17931726,11.07819593,12.03841249,11.38875462,10.80394503,10.56753934,10.0970949,9.322885313,9.026705139,9.9169,10.73119334,11.88049777,11.86933953,12.71341964,12.7849101,12.22302783,13.09528221,14.47802373,14.74022536
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.56,10.5654,11.43479149,12.59215578,12.66243865,13.49566867,13.7556294,12.63888856,14.04197015,15.47674724,16.13921182
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.42,10.0925,11.49500997,12.42362818,12.15443835,13.40042937,12.94748914,12.53415017,13.67642502,14.96699443,15.72744681
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.18,10.3596,11.14157965,12.28238423,12.06502639,12.91937086,13.20204599,12.60435648,13.43566172,14.94592027,15.24932219
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.26,11.373,11.89289611,13.10516797,12.09957081,12.84777883,12.90328008,12.14390696,13.51339152,15.49888072,15.96632937
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.63,9.1085,9.821304589,11.00878428,11.33204222,12.09151613,11.97866465,11.76675119,12.68047682,13.5019774,13.88118581
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.35,9.509,10.1810739,11.17520256,12.12235318,12.60370432,12.09866758,12.1546543,13.19219299,14.62039413,14.74298372
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.75,8.3222,8.729450675,9.516336905,9.67517914,10.64625841,10.61618826,10.3115997,10.76336053,12.01599601,10.78972827
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.27,10.0705,10.29396972,12.51736889,11.01919978,11.88354667,11.89257157,11.19489733,11.89082813,13.76686384,13.63148787
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.95,10.0733,11.23305457,12.16021421,12.31601835,13.31932983,12.23105673,12.662578,13.69088672,14.95120447,15.60860972
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.45,7.9685,12.3219798,15.06646518,7.971128265,11.44658623,11.4458458,12.10081812,-,15.45849456,14.43744526
Horta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.94,9.5169,10.60475325,11.65330062,11.80099307,12.46256938,12.63010062,11.94893513,12.4481176,13.92291499,14.59812627
Nou Barris,Districte,5.408727813,6.24591734,7.152488626,7.280711122,7.944112745,8.88368006,9.937049051,10.8254122,11.47985655,11.17290227,10.73841795,10.33118685,9.478126049,8.747263415,8.397351861,8.865,9.647198618,10.55340836,11.22220164,11.70415908,11.72106793,11.28011437,12.07822195,13.25863818,13.23960721
Vilapicina i la Torre Llobeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.8,9.321,10.48983657,11.36903511,11.57086983,12.17439166,12.31029452,11.56312246,12.75162139,13.692091,14.30768437
Porta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.64,9.1018,10.04632273,10.79781502,11.44337279,12.32845508,12.05803975,11.4758245,12.28378524,13.51271616,13.58725049
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.81,8.3371,9.45347113,10.5859561,11.3011196,11.69931486,11.59207749,11.2697347,11.90909713,12.56367818,13.78815152
Can Peguera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.29,5.7937,8.071465711,11.17761703,8.083311404,11.91723347,-,-,-,-,-
la Guineueta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.21,8.1706,8.784614277,9.377243792,10.07053595,10.47671958,10.55883307,9.714225617,10.83255746,12.18691534,11.82398508
Canyelles,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.98,7.2142,8.039330148,8.601760362,9.465137012,9.486878533,9.658084507,9.362766676,9.722286455,10.76065878,10.27004738
les Roquetes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.33,8.7248,9.360139362,10.17254712,11.20675685,11.22514074,11.64755506,11.33725694,12.24917482,13.6090089,14.19990848
Verdun,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.22,9.1444,10.09842685,11.08608833,11.64821058,12.07538391,11.99610357,12.29071902,11.98554247,14.52603019,13.42592505
la Prosperitat,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.9,9.6347,10.2979151,11.26429756,11.76011927,12.01860425,12.43353365,11.83731299,12.57534344,13.94546442,14.04116771
la Trinitat Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.54,8.787,8.597078545,10.65275266,12.02475454,12.10770272,11.8320235,11.62498406,12.84131321,13.51518616,14.84100968
Torre Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,6.0594,7.3934873,6.782010885,8.239509411,7.463522392,8.756814472,8.840572522,10.38654687,7.708899349,5.232301788
Ciutat Meridiana,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.38,6.6154,6.970532496,7.589143974,8.719993745,9.650061572,9.24737151,8.926438459,9.703440498,10.38979895,10.5312325
Vallbona,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.25,6.657,7.901908628,6.048871237,9.480468505,8.082044583,7.898986077,5.957624909,8.041269608,-,-
Sant Andreu (District),-,5.462929035,6.081087361,6.714628553,7.251006139,7.84704076,8.984136292,9.566090596,10.72470828,11.45357866,11.13561741,10.65336438,10.44947674,9.840602151,9.206498129,8.862924062,9.6108,10.39101392,11.36452552,11.74361983,12.21327039,12.34872478,11.73244212,12.51259146,13.83335646,13.81426865
la Trinitat Vella,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.98,8.0063,8.509226672,9.161313642,10.00706809,10.11453607,10.85650527,10.30670192,10.96827305,12.52638754,12.96056457
Baró de Viver,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.92,4.7787,3.516845571,6.210010197,7.477570815,6.509719318,7.518427433,8.006762379,6.120076038,9.234508433,-
el Bon Pastor,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.05,8.8203,8.711187605,9.517934483,10.84914423,10.50127218,11.8842889,10.82539848,11.5351296,10.90146744,10.24241631
Sant Andreu (Neighborhood),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.19,10.0344,10.89883083,12.33028568,11.91470584,12.47487697,12.50038504,11.88905378,12.65050672,13.96003744,14.01599481
la Sagrera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.05,9.734,10.49439563,10.83552707,11.91595213,12.64546215,12.39921942,11.98183765,12.89273389,14.54383482,14.55406966
el Congrés i els Indians,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.24,9.4546,10.39427891,11.37092837,11.92719017,12.06731659,12.51627144,11.6844848,12.45548468,14.01852095,14.30262675
Navas,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.91,9.7254,10.80602479,11.46554428,12.03009434,12.42671351,12.66806027,11.88403763,12.64949878,14.45475845,14.54749585
Sant Martí,Districte,5.74046906,6.501688218,7.470087546,7.652149224,8.201924346,9.202702901,10.34784162,11.21445797,11.83960277,11.59241512,11.22762899,10.89638552,10.48165838,9.872786361,9.74769931,10.6448,11.73900818,12.90072471,13.21382261,13.85150421,13.79197111,13.30586898,14.48666741,16.17791361,16.56909379
el Camp de l'Arpa del Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.74,10.6257,11.70948355,12.9522741,13.03313297,13.5412438,13.57354111,12.99553517,14.14347737,15.7630835,15.99707692
el Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.63,10.3108,11.19309198,12.44547564,12.55115119,13.24594658,13.34672309,12.8823613,13.62571505,15.40462451,15.76512153
el Parc i la Llacuna del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.24,11.4877,12.78780117,13.75547167,13.96270529,15.01556603,14.33280282,14.27264434,15.89686287,17.25321908,17.7113062
la Vila Olímpica del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.18,14.2878,16.20879053,17.1315016,16.86678619,17.54780683,17.6560447,16.76244226,19.10577716,20.38012328,20.4722636
el Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.57,11.7336,12.78948276,13.96589409,14.45999709,15.0832312,14.91812147,14.33095186,16.50880545,17.77528959,18.93436341
Diagonal Mar i el Front Marítim del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.18,12.4914,13.87234935,16.03117467,15.27081522,17.26152751,16.66481254,15.66464905,17.24356112,18.81057429,19.35608575
el Besòs i el Maresme,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.74,8.3818,8.771495643,10.03168712,10.94702857,11.34030743,11.91009937,11.34442575,12.12585709,12.49445559,14.14397508
Provençals del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.67,9.9554,11.78381707,12.93579696,13.6339852,14.11028393,13.97518847,13.47210681,14.53918183,16.34846365,16.42864352
Sant Martí de Provençals,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.88,9.4005,9.965651332,10.90435678,11.50359886,11.90384333,11.77795184,11.49368345,12.12600038,13.53634416,14.57708793
la Verneda i la Pau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.32,9.0998,9.112667914,10.16210141,11.19006323,11.47554928,11.54557731,11.07312805,11.42092586,16.2976111,14.32545133
