Territory,Location type,Property use typology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
el Fort Pienc,Barri,Residential,69,110,188,173,243,236,209,244,162,228,233,229,176
el Fort Pienc,Barri,Parking,99,58,73,139,122,124,162,146,109,91,147,112,105
el Fort Pienc,Barri,Commercial,8,4,10,17,23,20,33,32,70,21,18,15,12
el Fort Pienc,Barri,Office,2,9,8,8,22,11,15,31,31,16,16,14,4
el Fort Pienc,Barri,Touristic,6,7,2,21,31,4,7,2,-,-,1,1,1
el Fort Pienc,Barri,Industrial,-,-,-,-,-,-,1,-,-,-,-,-,-
el Fort Pienc,Barri,Facilities,-,-,-,-,-,-,-,1,1,1,-,1,1
el Fort Pienc,Barri,Not avalaible,22,1,17,10,2,4,15,-,-,-,-,2,-
la Sagrada Família,Barri,Residential,160,208,317,374,447,435,451,437,323,460,572,397,376
la Sagrada Família,Barri,Parking,76,101,124,144,139,258,229,161,125,158,255,206,117
la Sagrada Família,Barri,Commercial,26,32,40,42,57,45,48,35,29,22,33,56,37
la Sagrada Família,Barri,Office,4,9,19,13,12,21,16,30,12,16,19,29,19
la Sagrada Família,Barri,Touristic,21,39,24,20,11,21,14,11,10,1,3,4,2
la Sagrada Família,Barri,Plots/Land,-,-,-,-,1,1,1,3,6,1,-,1,-
la Sagrada Família,Barri,Industrial,-,-,2,2,-,-,1,2,2,1,-,4,2
la Sagrada Família,Barri,Facilities,1,1,-,2,2,-,-,1,1,-,2,6,-
la Sagrada Família,Barri,Not avalaible,18,14,44,8,19,30,2,4,-,3,3,-,8
la Dreta de l'Eixample,Barri,Residential,135,264,344,401,493,439,345,386,230,392,502,482,365
la Dreta de l'Eixample,Barri,Parking,89,106,169,313,230,204,180,225,164,157,231,180,120
la Dreta de l'Eixample,Barri,Commercial,23,35,72,70,66,55,44,53,29,36,53,53,48
la Dreta de l'Eixample,Barri,Office,38,43,51,101,99,83,76,115,56,105,79,57,48
la Dreta de l'Eixample,Barri,Touristic,54,69,34,27,41,26,26,16,9,13,2,1,8
la Dreta de l'Eixample,Barri,Plots/Land,-,-,-,-,-,-,-,-,1,-,1,4,-
la Dreta de l'Eixample,Barri,Facilities,2,10,7,9,6,2,3,27,2,3,6,2,24
la Dreta de l'Eixample,Barri,Not avalaible,32,22,79,24,45,52,10,17,3,20,17,21,4
l'Antiga Esquerra de l'Eixample,Barri,Residential,152,186,308,362,347,365,341,381,233,388,488,400,276
l'Antiga Esquerra de l'Eixample,Barri,Parking,72,78,120,132,144,159,178,185,134,167,224,159,124
l'Antiga Esquerra de l'Eixample,Barri,Commercial,14,17,35,52,65,47,43,54,23,35,45,35,39
l'Antiga Esquerra de l'Eixample,Barri,Office,4,28,23,28,32,45,35,85,32,37,24,21,10
l'Antiga Esquerra de l'Eixample,Barri,Touristic,20,35,25,30,17,8,5,19,5,1,1,2,-
l'Antiga Esquerra de l'Eixample,Barri,Plots/Land,1,-,-,-,-,-,-,-,17,-,-,20,-
l'Antiga Esquerra de l'Eixample,Barri,Industrial,-,-,-,-,1,-,-,-,-,-,2,-,-
l'Antiga Esquerra de l'Eixample,Barri,Facilities,-,2,4,4,12,8,9,4,4,5,5,5,1
l'Antiga Esquerra de l'Eixample,Barri,Not avalaible,20,15,47,13,41,50,4,2,11,-,2,14,2
la Nova Esquerra de l'Eixample,Barri,Residential,182,241,396,432,525,439,414,444,355,517,558,439,323
la Nova Esquerra de l'Eixample,Barri,Parking,144,148,250,254,381,280,285,266,215,238,319,284,193
la Nova Esquerra de l'Eixample,Barri,Commercial,4,17,27,63,53,59,69,62,21,30,51,54,42
la Nova Esquerra de l'Eixample,Barri,Office,10,26,61,46,47,34,53,24,27,27,41,43,19
la Nova Esquerra de l'Eixample,Barri,Touristic,9,11,9,24,10,8,7,8,6,3,3,35,2
la Nova Esquerra de l'Eixample,Barri,Plots/Land,-,-,-,-,-,-,-,-,1,-,-,-,-
la Nova Esquerra de l'Eixample,Barri,Industrial,-,-,-,-,-,-,1,1,-,1,1,-,-
la Nova Esquerra de l'Eixample,Barri,Facilities,1,2,10,3,1,3,7,4,3,-,4,4,1
la Nova Esquerra de l'Eixample,Barri,Not avalaible,12,18,13,67,129,134,4,2,-,-,7,1,-
Sant Antoni,Barri,Residential,112,173,241,269,321,378,298,316,207,308,375,313,237
Sant Antoni,Barri,Parking,86,74,91,94,106,196,150,255,162,140,132,127,78
Sant Antoni,Barri,Commercial,10,17,22,36,34,38,37,37,19,26,39,21,26
Sant Antoni,Barri,Office,2,8,15,5,13,17,10,12,3,11,18,16,13
Sant Antoni,Barri,Touristic,10,27,24,5,6,16,8,11,8,1,1,-,-
Sant Antoni,Barri,Plots/Land,-,-,-,-,1,-,-,-,-,-,-,-,-
Sant Antoni,Barri,Industrial,-,-,-,-,-,-,-,-,-,1,-,-,-
Sant Antoni,Barri,Facilities,1,-,1,3,3,-,6,9,3,2,6,-,1
Sant Antoni,Barri,Not avalaible,9,26,12,5,5,1,6,1,-,10,2,1,-
Sants-Montjuïc,Districte,Residential,506,599,965,1261,1667,1622,1621,1459,1108,1483,1895,1600,1181
Sants-Montjuïc,Districte,Parking,255,250,296,529,611,656,668,593,452,547,640,686,415
Sants-Montjuïc,Districte,Commercial,52,59,98,121,154,270,207,185,121,207,235,207,173
Sants-Montjuïc,Districte,Office,11,26,60,29,30,25,48,50,44,31,41,35,24
Sants-Montjuïc,Districte,Touristic,33,65,60,29,31,47,20,15,54,2,4,3,3
Sants-Montjuïc,Districte,Plots/Land,1,6,2,8,10,8,43,13,33,7,7,7,4
Sants-Montjuïc,Districte,Industrial,16,5,8,6,7,5,22,28,6,6,30,8,3
Sants-Montjuïc,Districte,Facilities,4,3,2,2,1,7,13,9,7,19,9,11,8
Sants-Montjuïc,Districte,Not avalaible,101,52,80,107,102,386,40,15,36,2,35,20,69
el Poble Sec - AEI Parc de Montjuïc,Barri,Residential,114,169,291,367,451,413,410,382,269,388,464,344,297
el Poble Sec - AEI Parc de Montjuïc,Barri,Parking,82,24,39,112,56,78,80,83,104,69,73,71,56
el Poble Sec - AEI Parc de Montjuïc,Barri,Commercial,15,18,38,48,38,45,55,47,22,43,40,45,35
el Poble Sec - AEI Parc de Montjuïc,Barri,Office,-,15,5,3,3,7,21,8,1,2,1,8,3
el Poble Sec - AEI Parc de Montjuïc,Barri,Touristic,16,43,38,14,15,20,6,8,2,1,1,-,1
el Poble Sec - AEI Parc de Montjuïc,Barri,Plots/Land,1,1,1,-,2,1,2,1,-,2,-,-,-
el Poble Sec - AEI Parc de Montjuïc,Barri,Industrial,-,1,-,-,2,1,2,2,-,-,1,1,-
el Poble Sec - AEI Parc de Montjuïc,Barri,Facilities,-,1,1,-,-,1,1,-,1,1,1,1,2
el Poble Sec - AEI Parc de Montjuïc,Barri,Not avalaible,3,28,12,19,18,23,13,7,1,-,17,-,8
la Marina del Prat Vermell - AEI Zona Franca,Barri,Residential,-,1,6,9,25,16,5,7,7,9,9,7,83
la Marina del Prat Vermell - AEI Zona Franca,Barri,Parking,-,12,-,7,6,9,4,8,36,12,5,5,54
la Marina del Prat Vermell - AEI Zona Franca,Barri,Commercial,3,1,2,-,1,3,5,1,1,3,3,5,3
la Marina del Prat Vermell - AEI Zona Franca,Barri,Office,-,-,-,5,2,2,2,20,2,2,1,5,-
la Marina del Prat Vermell - AEI Zona Franca,Barri,Plots/Land,-,2,-,3,-,-,1,1,2,2,2,2,1
la Marina del Prat Vermell - AEI Zona Franca,Barri,Industrial,-,4,2,5,5,-,2,18,5,1,11,3,1
la Marina del Prat Vermell - AEI Zona Franca,Barri,Facilities,-,2,-,-,-,-,-,-,-,8,-,-,-
la Marina del Prat Vermell - AEI Zona Franca,Barri,Not avalaible,-,-,-,-,-,-,-,-,17,1,-,9,49
la Marina de Port,Barri,Residential,95,88,134,161,232,253,234,204,160,212,298,272,183
la Marina de Port,Barri,Parking,37,52,69,72,162,143,97,112,59,115,132,102,73
la Marina de Port,Barri,Commercial,3,6,6,8,19,10,28,13,9,22,24,28,26
la Marina de Port,Barri,Office,7,6,14,7,14,3,15,10,34,9,19,3,4
la Marina de Port,Barri,Touristic,-,-,1,-,-,1,1,-,-,-,-,-,-
la Marina de Port,Barri,Plots/Land,-,1,1,1,2,1,2,1,-,-,-,-,-
la Marina de Port,Barri,Industrial,-,-,-,-,-,-,-,-,-,2,-,-,-
la Marina de Port,Barri,Facilities,1,-,1,-,-,3,1,1,4,3,2,-,-
la Marina de Port,Barri,Not avalaible,13,3,7,5,6,19,6,-,-,-,-,-,-
la Font de la Guatlla,Barri,Residential,27,32,39,52,95,74,80,54,47,86,129,90,56
la Font de la Guatlla,Barri,Parking,5,10,15,32,36,42,46,34,17,42,52,37,23
la Font de la Guatlla,Barri,Commercial,-,2,2,3,5,10,10,7,5,7,10,8,4
la Font de la Guatlla,Barri,Office,-,-,-,-,-,1,-,-,1,2,1,-,1
la Font de la Guatlla,Barri,Touristic,4,3,1,1,-,7,2,1,-,-,1,-,-
la Font de la Guatlla,Barri,Plots/Land,-,-,-,-,-,2,-,-,-,-,2,-,1
la Font de la Guatlla,Barri,Industrial,-,-,-,-,-,-,8,-,-,-,8,1,-
la Font de la Guatlla,Barri,Facilities,-,-,-,-,-,-,-,1,-,-,-,-,1
la Font de la Guatlla,Barri,Not avalaible,22,2,-,3,3,-,2,-,1,-,16,3,-
Hostafrancs,Barri,Residential,31,60,72,125,143,151,180,159,105,143,149,154,96
Hostafrancs,Barri,Parking,35,23,23,43,59,66,70,54,29,45,54,70,33
Hostafrancs,Barri,Commercial,6,11,7,15,13,18,12,25,14,20,17,17,21
Hostafrancs,Barri,Office,-,3,4,5,-,1,-,2,-,4,5,2,1
Hostafrancs,Barri,Touristic,9,5,2,1,4,6,9,1,1,1,-,-,-
Hostafrancs,Barri,Plots/Land,-,-,-,1,1,2,33,8,22,-,-,-,-
Hostafrancs,Barri,Industrial,15,-,-,-,-,-,1,1,-,-,-,1,-
Hostafrancs,Barri,Facilities,-,-,-,-,-,1,2,-,-,1,-,3,1
Hostafrancs,Barri,Not avalaible,6,1,1,14,7,3,2,-,12,-,-,3,2
la Bordeta,Barri,Residential,48,51,100,132,127,141,202,150,127,143,163,214,105
la Bordeta,Barri,Parking,23,21,39,69,43,77,134,54,56,72,70,165,33
la Bordeta,Barri,Commercial,2,3,17,15,16,95,17,13,8,27,39,32,22
la Bordeta,Barri,Office,-,-,31,2,3,2,1,1,4,4,10,3,3
la Bordeta,Barri,Touristic,-,2,1,3,-,3,1,-,-,-,-,-,-
la Bordeta,Barri,Plots/Land,-,-,-,2,1,2,2,2,2,-,1,3,1
la Bordeta,Barri,Industrial,1,-,3,-,-,2,2,4,-,-,1,1,1
la Bordeta,Barri,Facilities,-,-,-,2,-,-,8,-,2,-,2,2,-
la Bordeta,Barri,Not avalaible,-,1,37,10,15,132,8,-,1,-,-,1,-
Sants - Badal,Barri,Residential,64,79,112,134,215,248,207,188,169,186,268,196,158
Sants - Badal,Barri,Parking,28,43,32,49,60,94,100,81,64,71,139,78,51
Sants - Badal,Barri,Commercial,5,4,9,9,21,32,29,32,28,27,27,25,27
Sants - Badal,Barri,Office,-,-,3,1,2,6,1,-,1,1,2,11,3
Sants - Badal,Barri,Touristic,-,-,-,-,-,1,-,1,49,-,1,-,-
Sants - Badal,Barri,Plots/Land,-,2,-,-,1,-,1,-,2,-,1,-,1
Sants - Badal,Barri,Industrial,-,-,1,1,-,2,-,3,1,2,8,-,-
Sants - Badal,Barri,Facilities,2,-,-,-,-,2,1,3,-,-,-,2,1
Sants - Badal,Barri,Not avalaible,18,1,10,24,19,196,7,-,2,-,2,2,-
Sants,Barri,Residential,127,119,211,281,379,326,303,315,224,316,415,323,203
Sants,Barri,Parking,45,65,79,145,189,147,137,167,87,121,115,158,92
Sants,Barri,Commercial,18,14,17,23,41,57,51,47,34,58,75,47,35
Sants,Barri,Office,4,2,3,6,6,3,8,9,1,7,2,3,9
Sants,Barri,Touristic,4,12,17,10,12,9,1,4,2,-,1,3,2
Sants,Barri,Plots/Land,-,-,-,1,3,-,2,-,5,3,1,2,-
Sants,Barri,Industrial,-,-,2,-,-,-,7,-,-,1,1,1,1
Sants,Barri,Facilities,1,-,-,-,1,-,-,4,-,6,4,3,3
Sants,Barri,Not avalaible,39,16,13,32,34,13,2,8,2,1,-,2,10
Les Corts,Districte,Residential,248,286,560,543,749,645,597,537,430,579,707,575,417
Les Corts,Districte,Parking,203,406,461,403,646,494,407,471,357,447,489,427,302
Les Corts,Districte,Commercial,18,36,43,49,155,82,72,94,47,46,61,75,49
Les Corts,Districte,Office,7,13,32,41,45,36,54,48,59,31,35,22,27
Les Corts,Districte,Touristic,6,3,6,8,2,4,4,7,2,2,2,1,-
Les Corts,Districte,Plots/Land,-,2,4,1,4,4,30,13,54,2,1,7,2
Les Corts,Districte,Industrial,1,-,-,-,2,15,3,2,2,9,7,1,-
Les Corts,Districte,Facilities,-,3,7,2,9,5,11,4,3,3,4,11,2
Les Corts,Districte,Not avalaible,16,140,83,269,98,131,16,-,4,1,1,-,1
les Corts,Barri,Residential,122,143,312,306,394,367,313,286,259,288,377,332,248
les Corts,Barri,Parking,101,127,261,230,350,297,215,249,238,245,274,272,163
les Corts,Barri,Commercial,9,28,28,36,118,48,49,75,24,28,38,54,25
les Corts,Barri,Office,6,11,27,38,34,27,38,36,52,23,18,18,21
les Corts,Barri,Touristic,5,1,5,4,1,2,-,3,-,-,-,1,-
les Corts,Barri,Plots/Land,-,-,1,1,2,1,29,9,8,-,-,-,1
les Corts,Barri,Industrial,-,-,-,-,2,15,2,-,1,5,2,-,-
les Corts,Barri,Facilities,-,3,1,1,1,3,3,1,3,-,2,10,2
les Corts,Barri,Not avalaible,12,139,59,248,87,120,15,-,4,1,-,-,1
la Maternitat i Sant Ramon,Barri,Residential,75,76,133,146,194,165,197,149,100,185,179,151,99
la Maternitat i Sant Ramon,Barri,Parking,53,217,105,101,229,118,107,128,67,120,100,84,69
la Maternitat i Sant Ramon,Barri,Commercial,9,3,9,9,33,29,21,15,21,16,16,20,13
la Maternitat i Sant Ramon,Barri,Office,1,2,5,2,8,6,12,11,6,7,6,3,4
la Maternitat i Sant Ramon,Barri,Touristic,-,2,-,4,1,1,4,2,2,-,1,-,-
la Maternitat i Sant Ramon,Barri,Plots/Land,-,1,-,-,-,-,-,-,44,-,-,-,-
la Maternitat i Sant Ramon,Barri,Industrial,-,-,-,-,-,-,1,1,1,4,5,-,-
la Maternitat i Sant Ramon,Barri,Facilities,-,-,-,1,2,1,7,2,-,2,2,1,-
la Maternitat i Sant Ramon,Barri,Not avalaible,3,-,21,3,10,9,1,-,-,-,-,-,-
Pedralbes,Barri,Residential,51,67,115,91,161,113,87,102,71,106,151,92,70
Pedralbes,Barri,Parking,49,62,95,72,67,79,85,94,52,82,115,71,70
Pedralbes,Barri,Commercial,-,5,6,4,4,5,2,4,2,2,7,1,11
Pedralbes,Barri,Office,-,-,-,1,3,3,4,1,1,1,11,1,2
Pedralbes,Barri,Touristic,1,-,1,-,-,1,-,2,-,2,1,-,-
Pedralbes,Barri,Plots/Land,-,1,3,-,2,3,1,4,2,2,1,7,1
Pedralbes,Barri,Industrial,1,-,-,-,-,-,-,1,-,-,-,1,-
Pedralbes,Barri,Facilities,-,-,6,-,6,1,1,1,-,1,-,-,-
Pedralbes,Barri,Not avalaible,1,1,3,18,1,2,-,-,-,-,1,-,-
Sarrià-Sant Gervasi,Districte,Residential,533,657,1152,1033,1303,1275,1110,1075,887,1206,1358,1049,790
Sarrià-Sant Gervasi,Districte,Parking,423,488,863,797,1037,1031,905,1019,704,859,1101,1007,752
Sarrià-Sant Gervasi,Districte,Commercial,42,60,120,122,132,130,140,166,106,133,154,130,98
Sarrià-Sant Gervasi,Districte,Office,31,46,73,87,119,130,111,75,93,65,104,102,55
Sarrià-Sant Gervasi,Districte,Touristic,9,8,9,20,19,20,9,12,9,3,2,3,6
Sarrià-Sant Gervasi,Districte,Plots/Land,1,5,7,15,20,16,17,47,14,45,22,10,9
Sarrià-Sant Gervasi,Districte,Industrial,-,-,-,-,-,-,1,-,-,-,-,-,-
Sarrià-Sant Gervasi,Districte,Facilities,13,17,17,18,25,44,47,55,30,48,27,37,13
Sarrià-Sant Gervasi,Districte,Not avalaible,52,57,85,158,98,37,57,17,3,9,18,4,-
"Vallvidrera, el Tibidabo i les Planes",Barri,Residential,16,20,28,22,41,47,56,40,28,40,44,27,19
"Vallvidrera, el Tibidabo i les Planes",Barri,Parking,3,4,14,6,8,7,3,8,4,5,5,1,2
"Vallvidrera, el Tibidabo i les Planes",Barri,Commercial,-,-,-,2,1,2,1,-,-,1,1,-,-
"Vallvidrera, el Tibidabo i les Planes",Barri,Office,-,-,-,-,1,2,1,-,-,-,-,-,-
"Vallvidrera, el Tibidabo i les Planes",Barri,Touristic,-,-,-,-,-,-,-,-,1,-,-,-,1
"Vallvidrera, el Tibidabo i les Planes",Barri,Plots/Land,-,-,2,2,11,9,8,6,4,4,12,5,2
"Vallvidrera, el Tibidabo i les Planes",Barri,Facilities,-,1,-,1,1,-,1,1,-,2,-,-,-
Sarrià,Barri,Residential,69,104,180,146,184,189,159,167,147,176,219,165,111
Sarrià,Barri,Parking,75,57,108,83,154,154,133,157,131,153,212,283,113
Sarrià,Barri,Commercial,7,9,9,16,14,16,21,26,15,22,24,27,13
Sarrià,Barri,Office,-,1,7,6,7,2,6,6,1,4,12,6,2
Sarrià,Barri,Touristic,1,1,1,1,-,4,1,4,-,1,-,1,3
Sarrià,Barri,Plots/Land,-,3,2,4,7,-,3,37,5,32,3,3,1
Sarrià,Barri,Industrial,-,-,-,-,-,-,1,-,-,-,-,-,-
Sarrià,Barri,Facilities,1,1,2,2,1,2,7,5,8,12,6,6,4
Sarrià,Barri,Not avalaible,9,4,4,60,17,1,-,-,-,7,6,3,-
les Tres Torres,Barri,Residential,49,78,152,108,148,128,106,104,78,105,134,85,89
les Tres Torres,Barri,Parking,66,81,163,112,226,127,135,151,97,92,168,123,102
les Tres Torres,Barri,Commercial,2,3,12,5,13,6,3,15,6,13,5,6,7
les Tres Torres,Barri,Office,2,2,2,2,6,4,8,3,2,5,4,16,5
les Tres Torres,Barri,Touristic,1,2,-,1,1,3,-,-,-,-,-,-,-
les Tres Torres,Barri,Plots/Land,-,-,-,8,2,-,-,-,-,-,3,-,2
les Tres Torres,Barri,Facilities,5,3,1,-,2,15,14,9,5,2,-,9,-
les Tres Torres,Barri,Not avalaible,6,26,18,40,8,19,2,-,-,-,1,-,-
Sant Gervasi - la Bonanova,Barri,Residential,110,103,168,158,222,195,156,145,145,190,233,157,119
Sant Gervasi - la Bonanova,Barri,Parking,71,71,148,162,172,155,153,111,105,141,153,169,116
Sant Gervasi - la Bonanova,Barri,Commercial,10,7,26,18,19,17,21,29,16,12,16,9,15
Sant Gervasi - la Bonanova,Barri,Office,1,3,10,5,14,8,9,6,5,4,16,4,9
Sant Gervasi - la Bonanova,Barri,Touristic,1,-,3,3,-,1,1,1,1,-,1,-,1
Sant Gervasi - la Bonanova,Barri,Plots/Land,1,-,1,-,-,5,2,4,2,3,-,-,3
Sant Gervasi - la Bonanova,Barri,Facilities,2,6,2,8,11,15,13,13,7,8,7,6,2
Sant Gervasi - la Bonanova,Barri,Not avalaible,6,3,6,23,-,1,-,7,1,-,-,-,-
Sant Gervasi - Galvany,Barri,Residential,185,236,414,400,435,426,413,416,305,454,475,414,294
Sant Gervasi - Galvany,Barri,Parking,130,188,313,249,294,321,301,375,247,271,368,256,272
Sant Gervasi - Galvany,Barri,Commercial,16,28,56,66,68,66,55,68,43,53,71,53,35
Sant Gervasi - Galvany,Barri,Office,27,35,49,59,80,95,79,43,59,39,58,59,35
Sant Gervasi - Galvany,Barri,Touristic,6,4,4,9,14,10,5,4,7,2,1,2,-
Sant Gervasi - Galvany,Barri,Plots/Land,-,2,1,-,-,2,3,-,2,-,3,1,1
Sant Gervasi - Galvany,Barri,Facilities,5,6,12,5,9,9,8,22,9,18,13,13,6
Sant Gervasi - Galvany,Barri,Not avalaible,6,22,53,5,40,13,38,9,2,1,4,1,-
el Putxet i el Farró,Barri,Residential,104,116,210,199,273,290,220,203,184,241,253,201,158
el Putxet i el Farró,Barri,Parking,78,87,117,185,183,267,180,217,120,197,195,175,147
el Putxet i el Farró,Barri,Commercial,7,13,17,15,17,23,39,28,26,32,37,35,28
el Putxet i el Farró,Barri,Office,1,5,5,15,11,19,8,17,26,13,14,17,4
el Putxet i el Farró,Barri,Touristic,-,1,1,6,4,2,2,3,-,-,-,-,1
el Putxet i el Farró,Barri,Plots/Land,-,-,1,1,-,-,1,-,1,6,1,1,-
el Putxet i el Farró,Barri,Facilities,-,-,-,2,1,3,4,5,1,6,1,3,1
el Putxet i el Farró,Barri,Not avalaible,25,2,4,30,33,3,17,1,-,1,7,-,-
Gràcia,Districte,Residential,352,519,809,812,1045,1092,1051,901,792,1042,1158,958,763
Gràcia,Districte,Parking,162,271,369,569,422,470,399,337,331,356,468,377,322
Gràcia,Districte,Commercial,28,92,75,81,139,130,112,95,67,77,112,96,76
Gràcia,Districte,Office,7,24,32,43,24,30,37,66,17,24,26,14,16
Gràcia,Districte,Touristic,23,34,33,18,50,21,17,31,18,-,4,8,3
Gràcia,Districte,Plots/Land,2,-,1,6,13,8,15,93,11,58,7,1,3
Gràcia,Districte,Industrial,-,-,-,1,1,-,5,9,-,1,-,-,-
Gràcia,Districte,Facilities,1,6,4,10,7,6,5,17,16,12,13,17,4
Gràcia,Districte,Not avalaible,49,67,59,54,149,63,9,53,16,2,26,16,2
Vallcarca i els Penitents,Barri,Residential,38,64,122,95,140,157,149,117,94,142,156,112,104
Vallcarca i els Penitents,Barri,Parking,42,58,82,40,76,92,62,58,60,61,76,66,74
Vallcarca i els Penitents,Barri,Commercial,1,44,5,8,16,10,10,9,7,6,8,7,5
Vallcarca i els Penitents,Barri,Office,-,-,-,3,-,1,6,2,-,2,-,-,2
Vallcarca i els Penitents,Barri,Touristic,3,4,-,-,1,1,-,-,1,-,-,-,-
