Territory,Location type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Vallcarca i els Penitents,Barri,2526.375,2426.031746,2267.557522,2539.283951,2815.87218,3031.774775,3274.552846,3206.03125,3428.567901,3449.740741,3505.280822,3579.480392,3930.963855
el Coll,Barri,1656.142857,1946.081081,1788.028571,2021.8,1975.104478,2207.142857,2608.244444,2686.734375,3066.073171,2546.628571,3217.785714,2759.153846,2891.527778
la Salut,Barri,2668.064516,2406,2246.22973,2543.458333,2718.75,3293.114583,3366.556701,3487.572917,3268.3,3555.486726,3667.536842,3478.514851,3986.15
la Vila de Gràcia,Barri,2662.760736,2424.932432,2479.480712,2615.303571,3124.875294,3757.833718,4038.730864,4063.575385,3950.368715,3924.239362,4352.030172,4574.539894,4633.325758
el Camp d'en Grassot i Gràcia Nova,Barri,2598.178947,2350.129032,2406.201923,2640.424658,3005.891892,3455.109589,4112.156364,3884.491304,3642.507937,3921.118467,3948.177778,4041.319231,4244.425
Horta-Guinardó,Districte,2214.757835,1769.589796,1776.129921,2069.912417,2037.884194,2464.145818,2690.088647,2647.632953,2657.325507,2810.579283,2896.977154,2832.58374,3180.988056
el Baix Guinardó,Barri,2772.964706,1962.130435,2117.62406,2444.696203,2564.107981,3064.684211,3580.612903,3194.482558,3201.269841,3399.907317,3363.540351,3449.033981,3992.815385
Can Baró,Barri,2279.904762,1357.8,1762.536585,1826.568627,2016.378049,2453.77,2653.933333,2679.318182,2727.705882,3089.656716,2989.2375,2734.362637,2832.044444
el Guinardó,Barri,2152.106061,1886.708955,1835.603687,2131.894737,2241.849498,2616.784983,2731.798165,3005.392857,2888.403941,3046.215827,3277.052486,3141.922078,3493.825328
la Font d'en Fargues,Barri,2246.181818,2585.210526,2118.809524,2111.622642,2318.333333,2879.625,3363.1,2738.590164,3034.096154,3415.238806,2940.818182,3081.138462,3417.25641
el Carmel,Barri,1768.285714,1283.106667,1384.009615,1910.772727,1505.387755,1936.380952,2125.401606,2087.366197,2239.513228,2213.257028,2250.411765,2238.095941,2485.160428
la Teixonera,Barri,1730.666667,1392.193548,1441.473684,1605.235294,1690.252747,2019.933333,2221.842697,2668.488095,2308.315789,2298.847619,2619.920635,2420.1875,2660.218391
Sant Genís dels Agudells,Barri,2165.916667,1544.166667,1306.6,2020.607143,1795.735294,1988.388889,2040.780488,1963.111111,1855.309524,2257.4,2355.928571,2112.852941,3035.151515
